,userID,itemID,rating,SIDO
0,e000295,트레이더스 홀세일 클럽 안산점,4.333333333333333,경기
1,e000295,백령 할인마트,4.333333333333333,인천
2,e000295,사이 바다,2.0,인천
3,e000305,국립 무의도 자연휴양림,3.0,인천
4,e000305,실미해수욕장,1.0,인천
5,e000335,타임 테라스 A 블록,4.666666666666667,경기
6,e000335,스타필드 코엑스몰,5.0,서울
7,e000335,탑 플레이스 PC방 신천점,5.0,서울
8,e000335,잠실종합운동장,5.0,서울
9,e000365,소이작도 부근 배 낚시터,5.0,
10,e000365,대이작도 해안탐방로,4.333333333333333,
11,e000401,시흥 프리미엄 아울렛,2.6666666666666665,경기
12,e000401,스타필드 하남,5.0,경기
13,e000437,선녀바위,3.3333333333333335,인천
14,e000437,을왕리 해수욕장,3.0,인천
15,e000443,장봉도 공룡 침식 동굴,5.0,
16,e000443,장봉도,5.0,
17,e000443,가 막 머리 낙조,5.0,인천
18,e000463,가평 잣 고을시장,3.3333333333333335,경기
19,e000463,지방도 제391호선,4.0,경기
20,e000463,고거산 족발보쌈,4.0,경기
21,e000506,전등사,4.0,인천
22,e000506,초지진,4.333333333333333,인천
23,e000506,대명항 수산물 직판장,3.6666666666666665,경기
24,e000506,김포함상공원,4.0,경기
25,e000574,전등사,5.0,인천
26,e000574,강화 부근리 고인돌,2.6666666666666665,인천
27,e000574,대한 성공회 강화성당,4.333333333333333,인천
28,e000580,놀러와,5.0,
29,e000580,감동 칩스 북촌 본점,3.3333333333333335,서울
30,e000580,백 년 토종삼계탕 북촌점,4.333333333333333,서울
31,e000580,조선어학회 터,2.6666666666666665,서울
32,e000580,가회동성당,1.6666666666666667,서울
33,e000580,경복궁,3.0,서울
34,e000580,배스킨라빈스 삼청 마당점,3.3333333333333335,서울
35,e000580,솔트 24,3.0,서울
36,e000580,설화수의 집 북촌,5.0,서울
37,e000588,강화풍물시장,2.3333333333333335,인천
38,e000588,채플 갤러리,3.6666666666666665,인천
39,e000588,한옥카페 갤러리도 솔,3.6666666666666665,인천
40,e000588,킴스클럽 부평점,3.3333333333333335,인천
41,e000632,덕수궁,4.333333333333333,서울
42,e000632,남대문시장,3.0,서울
43,e000823,조기역사관,3.3333333333333335,인천
44,e000823,구리 동해 수욕장,5.0,인천
45,e000823,구리 동해 수욕장,4.0,인천
46,e000823,백로 서식지,3.0,
47,e000823,연평 평화 전망대,4.0,
48,e000823,망향비,3.3333333333333335,
49,e000823,연평도 안보교육장,4.333333333333333,인천
50,e000823,연평 책성,4.333333333333333,
51,e000823,용기포항 서 방파제 등 대,4.333333333333333,인천
52,e000823,끝섬 전망대,3.3333333333333335,인천
53,e000823,하늬 해변 패총,3.3333333333333335,
54,e000823,심청각,3.0,인천
55,e000823,백령도 유람선,4.333333333333333,인천
56,e000823,두무진,5.0,인천
57,e000823,중화동 교회,3.3333333333333335,인천
58,e000823,용트림 바위,5.0,인천
59,e000823,4년 노송,3.3333333333333335,인천
60,e000823,콩돌해안,4.0,인천
61,e000823,사자바위,3.3333333333333335,
62,e000823,천안함 46용사 위령탑,4.0,인천
63,e000823,백령 대교,4.0,인천
64,e000823,사곶천연비행장,5.0,인천
65,e000823,용기포구 등대,5.0,
66,e000823,백령면 사무소,5.0,인천
67,e000823,물범바위,5.0,
